Plate;Infraction ID;Fine Amount;Issuing Agency;Issue Date;County Name
JAD3011;5;50.0;DEPARTMENT OF TRANSPORTATION;2020-10-15;New York City
HZG6570;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-12-09;Richmond
XBLS58;38;35.0;TRAFFIC;2017-06-08;Bronx
746073T;20;60.0;TRAFFIC;2023-10-27;Kings
HXL8320;46;115.0;POLICE DEPARTMENT;2018-07-04;Bronx
EBB6443;20;60.0;TRAFFIC;2018-03-29;Queens
HWK2615;40;115.0;TRAFFIC;2019-01-23;Bronx
KSJ4123;14;115.0;TRAFFIC;2023-02-23;Bronx
61929ME;38;65.0;TRAFFIC;2021-10-05;New York City
HGK3877;21;45.0;TRAFFIC;2016-09-15;Bronx
BZG4748;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-11-20;Bronx
KHA2241;5;200.0;DEPARTMENT OF TRANSPORTATION;2022-06-27;Kings
C798HX;53;115.0;TRAFFIC;2018-11-21;New York City
DZJ7568;21;65.0;TRAFFIC;2022-11-14;New York City
AS70946;19;115.0;TRAFFIC;2020-09-20;New York City
ETK5185;21;45.0;TRAFFIC;2018-07-16;Kings
JRX7348;5;150.0;DEPARTMENT OF TRANSPORTATION;2021-09-13;Kings
HMV9442;31;115.0;TRAFFIC;2019-10-17;New York City
44183MH;38;65.0;TRAFFIC;2018-01-12;New York City
XDDE97;19;115.0;TRAFFIC;2021-03-25;Bronx
B84PCL;5;50.0;DEPARTMENT OF TRANSPORTATION;2022-06-23;Kings
HAM5596;5;115.0;DEPARTMENT OF TRANSPORTATION;2016-09-19;New York City
AR58562;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-02-22;Bronx
38336JM;21;45.0;TRAFFIC;2018-01-26;New York City
U464DR;21;65.0;DEPARTMENT OF SANITATION;2023-04-28;New York City
HUH5176;37;35.0;TRAFFIC;2018-06-01;Queens
23780MM;40;115.0;TRAFFIC;2019-05-21;New York City
ATE9149;71;65.0;TRAFFIC;2022-10-11;Bronx
KLV2852;70;65.0;TRAFFIC;2022-10-28;Queens
LMJ0660;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-11-26;Queens
KPM4484;7;50.0;DEPARTMENT OF TRANSPORTATION;2023-03-03;Kings
T631194C;36;50.0;DEPARTMENT OF TRANSPORTATION;2018-01-29;New York City
LEC1036;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-08-18;Kings
T622501C;46;115.0;TRAFFIC;2017-02-27;New York City
GDV1694;21;45.0;TRAFFIC;2016-06-16;Queens
BDE2393;46;115.0;TRAFFIC;2019-12-27;Bronx
XJFJ96;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-11-15;New York City
50597ML;71;65.0;TRAFFIC;2019-01-02;Bronx
T798186C;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-11-26;Kings
AP69720;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-03-18;Kings
KLH8883;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-04-06;Queens
DZT3446;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-10-20;Queens
14138MD;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-10-04;Kings
T652655C;51;115.0;TRAFFIC;2018-05-27;Queens
P42KHH;7;50.0;DEPARTMENT OF TRANSPORTATION;2021-05-22;Bronx
GTM4016;36;50.0;DEPARTMENT OF TRANSPORTATION;2016-10-13;Kings
T787626C;38;35.0;TRAFFIC;2021-03-18;Queens
6MRX063;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-11-23;Queens
GEW4438;38;35.0;TRAFFIC;2017-08-25;Kings
GUU2567;38;35.0;TRAFFIC;2020-12-18;Queens
USL4720;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-07-30;New York City
KPZ7072;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-12-13;Kings
Z74KVM;16;95.0;TRAFFIC;2021-11-24;Kings
KRH2279;38;35.0;TRAFFIC;2022-08-16;Queens
GXW5467;53;115.0;TRAFFIC;2019-08-26;Bronx
CHV1034;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-01-28;Kings
KJM9479;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-08-26;Queens
HAL1488;70;65.0;TRAFFIC;2016-09-07;Queens
DVW5567;20;60.0;TRAFFIC;2022-07-18;Queens
60707MD;46;115.0;POLICE DEPARTMENT;2017-08-23;Kings
MOVENPIX;38;35.0;TRAFFIC;2017-03-23;Queens
NR5733;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-05-06;Bronx
JEX4928;21;65.0;TRAFFIC;2020-08-21;Kings
W23HBM;16;95.0;TRAFFIC;2021-04-10;New York City
XBZE83;38;65.0;TRAFFIC;2017-05-19;New York City
FJH1820;70;65.0;TRAFFIC;2017-05-06;Kings
AOLI79;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-02-18;Kings
JGN3008;38;35.0;TRAFFIC;2020-11-04;Kings
EKE7692;40;115.0;TRAFFIC;2017-05-14;New York City
KDA0298;36;50.0;DEPARTMENT OF TRANSPORTATION;2016-06-27;Kings
KSR8997;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-12-30;Richmond
CUJ6371;71;65.0;TRAFFIC;2017-02-02;Kings
KTF9422;14;115.0;PORT AUTHORITY;2023-02-20;Queens
T679379C;14;115.0;TRAFFIC;2017-10-28;Kings
HDU8430;20;60.0;TRAFFIC;2020-02-10;Queens
XX306W;47;115.0;TRAFFIC;2014-05-09;New York City
FZA4996;46;115.0;TRAFFIC;2017-04-14;Bronx
GBN5371;98;95.0;POLICE DEPARTMENT;2018-02-01;Kings
91503ML;69;65.0;TRAFFIC;2019-12-19;New York City
TDC765;21;65.0;TRAFFIC;2022-09-02;Queens
KGJ5717;70;65.0;TRAFFIC;2022-12-12;Queens
GAH8168;20;60.0;TRAFFIC;2020-02-26;Queens
KZF1690;74;65.0;TRAFFIC;2023-06-26;Bronx
T517506C;38;35.0;TRAFFIC;2020-02-14;Queens
HVJ9206;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-06-11;Queens
HTD1450;74;65.0;TRAFFIC;2021-06-02;Kings
HAU3758;38;35.0;TRAFFIC;2019-06-27;New York City
HDS1165;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-08-24;Richmond
72593MM;19;115.0;TRAFFIC;2020-01-29;New York City
HWX2185;38;35.0;TRAFFIC;2019-11-30;Queens
HDE4169;38;35.0;TRAFFIC;2019-04-20;Bronx
BHU1288;7;50.0;DEPARTMENT OF TRANSPORTATION;2016-05-16;Richmond
KJC7281;70;65.0;TRAFFIC;2023-01-11;Bronx
BPAQ46;21;45.0;TRAFFIC;2017-10-16;Kings
GKK9200;71;65.0;TRAFFIC;2017-03-04;Queens
P328AD;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-07-30;Richmond
HJL5630;71;65.0;TRAFFIC;2019-09-18;Bronx
12497JM;48;115.0;TRAFFIC;2016-11-16;Kings
EGW2173;7;50.0;DEPARTMENT OF TRANSPORTATION;2017-06-01;Queens
JEG2754;40;115.0;TRAFFIC;2021-05-01;Kings
KOBEEEE;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-11-16;New York City
JRW6814;70;65.0;TRAFFIC;2023-05-09;Bronx
GXD4885;38;65.0;TRAFFIC;2022-07-09;New York City
73548MH;38;35.0;TRAFFIC;2017-08-08;Kings
GMS1453;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-09-28;Queens
F71FGM;19;115.0;TRAFFIC;2023-05-31;New York City
HBD9224;37;35.0;TRAFFIC;2016-09-30;Bronx
HMN1138;70;65.0;TRAFFIC;2023-03-10;Bronx
T640765C;40;115.0;TRAFFIC;2020-01-07;New York City
JCS5615;40;115.0;TRAFFIC;2019-10-22;Kings
JRX9849;14;115.0;TRAFFIC;2020-10-07;Queens
ESB1210;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-08-09;Queens
HSS3008;40;115.0;TRAFFIC;2022-11-03;New York City
KTT3461;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-01-24;Kings
JAZT49;21;45.0;TRAFFIC;2019-07-23;Queens
JDE5195;74;65.0;TRAFFIC;2019-02-15;Queens
XY458F;42;65.0;TRAFFIC;2021-01-21;New York City
GZH5249;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-05-30;Bronx
GSH2930;50;115.0;TRAFFIC;2018-12-06;Queens
T650015C;38;35.0;TRAFFIC;2016-05-11;Queens
HZT7279;46;115.0;TRAFFIC;2019-05-08;Bronx
50133MH;85;65.0;POLICE DEPARTMENT;2016-07-26;New York City
TKZ3514;74;65.0;TRAFFIC;2023-03-06;Kings
GFH7023;70;65.0;TRAFFIC;2023-03-30;Queens
HAT9771;71;65.0;TRAFFIC;2023-01-30;Kings
GHV8648;46;115.0;POLICE DEPARTMENT;2020-01-27;Kings
T789824C;37;35.0;TRAFFIC;2023-02-16;Queens
HTM7945;21;45.0;TRAFFIC;2019-03-11;Kings
540121R;21;45.0;TRAFFIC;2020-01-30;Bronx
11756ME;46;115.0;POLICE DEPARTMENT;2015-12-12;New York City
JDS2754;21;65.0;TRAFFIC;2022-03-29;Kings
KJA2877;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-03-10;Queens
HHH8302;71;65.0;TRAFFIC;2018-01-26;New York City
KRA9870;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-08-10;Queens
KVR4952;74;65.0;TRAFFIC;2023-01-26;New York City
KFN4486;68;60.0;POLICE DEPARTMENT;2022-08-02;New York City
1FFP64;17;95.0;TRAFFIC;2021-04-23;New York City
JNX1673;40;115.0;TRAFFIC;2021-02-04;Richmond
HSM2778;71;65.0;TRAFFIC;2021-08-11;Bronx
A91ENV;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-04-07;Bronx
GLU6203;38;35.0;TRAFFIC;2022-06-13;Queens
H414CC;40;115.0;TRAFFIC;2019-01-13;New York City
GTB1111;31;115.0;TRAFFIC;2020-08-06;New York City
HYU6298;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-12-05;Queens
AU942S;19;115.0;TRAFFIC;2021-01-04;New York City
42868JZ;38;35.0;TRAFFIC;2017-09-28;Bronx
19245MB;69;65.0;TRAFFIC;2019-06-20;New York City
86920ME;20;65.0;TRAFFIC;2019-08-07;New York City
14466MA;21;45.0;TRAFFIC;2016-09-09;Queens
HSU4156;21;65.0;TRAFFIC;2021-10-09;Bronx
KDA9632;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-11-23;Kings
72506ML;14;115.0;TRAFFIC;2022-05-24;New York City
KGR6196;71;65.0;TRAFFIC;2022-05-19;Queens
56179JZ;78;65.0;TRAFFIC;2021-07-28;Bronx
KRR6357;7;50.0;DEPARTMENT OF TRANSPORTATION;2022-06-06;Queens
S1588960;16;95.0;TRAFFIC;2023-08-09;Kings
CML1024;21;65.0;TRAFFIC;2023-06-15;Queens
HNH7837;38;35.0;TRAFFIC;2023-12-02;Richmond
2818651;19;115.0;TRAFFIC;2019-11-12;Queens
51595MH;20;65.0;TRAFFIC;2018-06-19;New York City
C30MFT;20;60.0;TRAFFIC;2021-06-19;Kings
D32MYU;37;65.0;TRAFFIC;2023-11-28;New York City
CWW8764;40;115.0;TRAFFIC;2019-09-24;Bronx
EEZ6267;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-02-01;Richmond
JCN2638;21;45.0;TRAFFIC;2019-12-06;Kings
CJ51890;74;65.0;TRAFFIC;2020-11-25;Kings
HXH1798;20;60.0;TRAFFIC;2018-05-08;Bronx
HYX3368;14;115.0;TRAFFIC;2019-04-24;Queens
LWCW;71;65.0;TRAFFIC;2022-09-16;Kings
27205MM;18;115.0;TRAFFIC;2020-10-28;New York City
GJX5394;40;115.0;TRAFFIC;2021-06-01;Kings
HCB2845;71;65.0;TRAFFIC;2018-03-01;Kings
HCV3264;20;60.0;TRAFFIC;2016-06-15;Bronx
CRRF14;40;115.0;TRAFFIC;2018-11-15;Queens
G35LXU;38;35.0;TRAFFIC;2022-01-03;Kings
43804MG;78;65.0;TRAFFIC;2021-01-05;Queens
FZT5052;71;65.0;TRAFFIC;2019-11-04;Kings
JHZ7617;13;115.0;TRAFFIC;2021-09-18;New York City
46279ND;53;115.0;TRAFFIC;2023-05-06;Queens
CKQ9220;21;65.0;TRAFFIC;2022-06-30;Kings
HTB5484;21;45.0;TRAFFIC;2019-09-05;Kings
50310NC;69;65.0;TRAFFIC;2023-03-20;New York City
EAA1046;51;115.0;TRAFFIC;2017-09-21;Kings
86828MG;38;65.0;TRAFFIC;2019-11-07;New York City
87223MK;69;65.0;TRAFFIC;2019-11-26;New York City
96622NA;20;60.0;TRAFFIC;2022-07-19;New York City
T631695C;14;115.0;TRAFFIC;2018-12-17;Bronx
KWL4340;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-08-14;Queens
T724871C;38;35.0;TRAFFIC;2018-03-14;Bronx
HSH9367;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-10-01;New York City
A64NYF;5;50.0;DEPARTMENT OF TRANSPORTATION;2021-11-02;Kings
KNE8981;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-03-31;Kings
HLX2335;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-07-03;Queens
KXM5257;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-09-20;Bronx
HBN8745;5;115.0;DEPARTMENT OF TRANSPORTATION;2017-04-19;Bronx
42526MG;38;35.0;TRAFFIC;2016-08-03;Bronx
LPD8998;21;65.0;TRAFFIC;2023-01-13;Queens
HCP1871;71;65.0;TRAFFIC;2016-12-23;Queens
HFW7444;21;45.0;DEPARTMENT OF SANITATION;2017-10-20;New York City
T687466C;36;50.0;DEPARTMENT OF TRANSPORTATION;2016-11-30;Bronx
HDC8938;38;35.0;TRAFFIC;2018-02-07;Kings
JJS3991;20;60.0;POLICE DEPARTMENT;2022-11-12;Queens
HUX1765;70;65.0;TRAFFIC;2020-02-13;New York City
23736MA;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-09-17;Kings
LAU2921;38;35.0;TRAFFIC;2023-08-22;New York City
HXA7583;21;45.0;DEPARTMENT OF SANITATION;2018-08-29;Kings
K690XS;70;65.0;TRAFFIC;2022-03-05;Queens
K17RWN;31;115.0;TRAFFIC;2023-04-25;New York City
FJF3933;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-12-08;Kings
LOSTX;38;35.0;TRAFFIC;2019-02-18;Kings
JHJ7563;14;115.0;POLICE DEPARTMENT;2021-01-06;Kings
607736;38;35.0;TRAFFIC;2017-12-04;Kings
557YRL;21;65.0;TRAFFIC;2023-02-16;Queens
JML1670;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-09-13;Queens
AZ99466;21;65.0;TRAFFIC;2023-12-19;Bronx
96872NB;53;115.0;TRAFFIC;2023-07-20;New York City
KJB5362;17;95.0;TRAFFIC;2021-09-20;Bronx
RTQ9662;14;115.0;TRAFFIC;2020-01-29;Bronx
WITZ440;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-01-10;Queens
ENS3092;38;35.0;TRAFFIC;2016-10-25;Kings
JKF8910;40;115.0;TRAFFIC;2023-01-11;Kings
KGH5915;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-09-15;Richmond
HES7299;38;35.0;TRAFFIC;2017-06-29;Kings
HRT5433;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-08-16;Richmond
D63BYZ;31;115.0;TRAFFIC;2017-02-10;New York City
AY06881;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-04-26;Bronx
PH4R40H;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-04-05;Kings
85147MH;69;65.0;TRAFFIC;2017-06-20;New York City
T723894C;21;65.0;DEPARTMENT OF SANITATION;2021-12-10;Queens
GTT3950;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-07-15;Queens
X55HWE;37;65.0;TRAFFIC;2019-07-05;New York City
BA23710;31;115.0;TRAFFIC;2021-12-15;New York City
75237MM;37;35.0;TRAFFIC;2021-02-22;Kings
8ED0020;38;35.0;TRAFFIC;2020-08-21;Bronx
XCTX78;19;115.0;TRAFFIC;2020-08-27;New York City
JFX4553;20;60.0;TRAFFIC;2020-10-21;New York City
TOPHAT8;20;65.0;TRAFFIC;2021-07-12;New York City
4DS2503;31;115.0;TRAFFIC;2019-08-30;New York City
JHD1154;71;65.0;TRAFFIC;2021-09-02;Richmond
JAF3719;74;65.0;TRAFFIC;2021-07-15;Queens
KNP6802;7;50.0;DEPARTMENT OF TRANSPORTATION;2022-08-05;Kings
ADH6276;5;250.0;DEPARTMENT OF TRANSPORTATION;2020-12-04;Kings
GFP3930;40;115.0;TRAFFIC;2016-06-24;Kings
73702NA;69;65.0;TRAFFIC;2022-02-08;New York City
HLE3449;37;65.0;TRAFFIC;2017-06-19;New York City
AP974J;40;115.0;TRAFFIC;2016-06-03;Queens
KFR2822;5;50.0;DEPARTMENT OF TRANSPORTATION;2023-01-27;Queens
EVH1179;21;45.0;DEPARTMENT OF SANITATION;2016-08-16;Kings
AS405W;45;115.0;POLICE DEPARTMENT;2017-02-08;New York City
KZW7313;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-07-27;Kings
GZC5864;21;65.0;TRAFFIC;2020-12-03;Kings
KDU9666;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-10-16;Bronx
32415ME;38;35.0;TRAFFIC;2020-01-10;Queens
H91KUY;38;65.0;TRAFFIC;2020-12-31;New York City
2435221;38;35.0;TRAFFIC;2017-02-06;Queens
KUW7033;7;50.0;DEPARTMENT OF TRANSPORTATION;2022-10-17;Queens
HAJ1292;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-10-10;Kings
PLY4742;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-03-11;Kings
GEA4845;40;115.0;POLICE DEPARTMENT;2016-01-30;Queens
9CDJ121;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-03-19;Bronx
KYY6655;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-05-14;Bronx
JPR7619;46;115.0;TRAFFIC;2021-07-30;Kings
GNB3599;5;50.0;DEPARTMENT OF TRANSPORTATION;2019-08-20;Queens
AL57994;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-10-22;New York City
HSU2583;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-03-25;Queens
JBW8910;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-06-24;Kings
DZX9517;14;115.0;TRAFFIC;2018-03-24;Queens
HZH4021;14;115.0;TRAFFIC;2019-09-28;Kings
CMPU05;21;65.0;TRAFFIC;2021-01-27;Kings
KDP2531;21;65.0;TRAFFIC;2021-09-18;Queens
98149MJ;14;115.0;TRAFFIC;2022-08-05;New York City
KVV5498;96;95.0;POLICE DEPARTMENT;2022-09-01;Kings
75BNJK;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-09-23;Kings
JAR6247;14;115.0;TRAFFIC;2020-02-03;Bronx
2065545;19;115.0;TRAFFIC;2017-04-14;Bronx
2571468;19;115.0;TRAFFIC;2019-05-03;New York City
GEX3148;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-03-07;New York City
KHK8244;16;95.0;TRAFFIC;2022-03-18;New York City
18153MG;37;65.0;TRAFFIC;2017-01-25;New York City
GTYA75;5;115.0;DEPARTMENT OF TRANSPORTATION;2016-09-16;Bronx
V786209;21;65.0;TRAFFIC;2022-07-19;Kings
89400MJ;14;115.0;TRAFFIC;2018-05-29;Kings
25800MJ;42;65.0;TRAFFIC;2016-12-16;New York City
KRA7733;40;115.0;POLICE DEPARTMENT;2022-05-26;Kings
YARV541;69;65.0;TRAFFIC;2018-08-07;New York City
JWB7305;21;45.0;TRAFFIC;2017-08-08;New York City
M47HBY;36;50.0;DEPARTMENT OF TRANSPORTATION;2018-04-20;Queens
JGU9498;7;50.0;DEPARTMENT OF TRANSPORTATION;2021-05-25;Kings
FJG2504;40;115.0;TRAFFIC;2017-12-24;Kings
JVT1612;74;65.0;TRAFFIC;2022-02-14;New York City
HFL2082;21;45.0;TRAFFIC;2017-04-28;New York City
31421MG;14;115.0;TRAFFIC;2019-08-15;New York City
6ET6768;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-12-31;Kings
HFH3467;21;45.0;TRAFFIC;2018-06-29;Kings
HCC3163;20;60.0;TRAFFIC;2020-11-13;New York City
2886079;48;115.0;POLICE DEPARTMENT;2020-12-16;Bronx
N24JAW;38;35.0;TRAFFIC;2017-08-01;Kings
HNF4108;71;65.0;TRAFFIC;2018-01-10;Kings
TAY7169;5;50.0;DEPARTMENT OF TRANSPORTATION;2022-03-22;Kings
HCE5870;46;115.0;TRAFFIC;2018-08-07;New York City
24376MH;69;65.0;TRAFFIC;2016-06-02;New York City
JCM2494;37;35.0;TRAFFIC;2019-10-03;Queens
D89HJU;31;115.0;TRAFFIC;2019-10-12;New York City
KVC5843;20;60.0;TRAFFIC;2023-12-01;Bronx
HJN5055;18;115.0;TRAFFIC;2019-07-10;New York City
PRA019;21;65.0;TRAFFIC;2022-06-07;Queens
CUX8130;40;115.0;POLICE DEPARTMENT;2016-05-04;Kings
C74JZR;19;115.0;TRAFFIC;2019-06-22;Queens
75028MH;36;50.0;DEPARTMENT OF TRANSPORTATION;2016-06-15;Queens
90466NC;19;115.0;TRAFFIC;2023-02-08;Kings
2962551;19;115.0;TRAFFIC;2022-09-08;New York City
JMK6115;21;65.0;TRAFFIC;2020-10-09;Bronx
KKF7951;21;65.0;DEPARTMENT OF SANITATION;2022-08-03;New York City
LAG8537;71;65.0;TRAFFIC;2023-06-27;Queens
PF3315;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-10-16;New York City
68383MG;19;115.0;TRAFFIC;2021-11-17;Bronx
V65DXM;21;65.0;TRAFFIC;2016-06-20;New York City
42860JM;14;115.0;TRAFFIC;2016-10-31;Queens
HEE9556;38;35.0;TRAFFIC;2019-07-06;Queens
EBB4976;38;35.0;TRAFFIC;2016-08-30;Kings
KKS260;98;95.0;POLICE DEPARTMENT;2023-06-28;Kings
36SB94;70;65.0;TRAFFIC;2016-02-23;Bronx
KWM8035;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-11-11;Queens
EBJ9105;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-12-24;Queens
113PSALM;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-10-13;Queens
HDG7023;20;65.0;TRAFFIC;2018-11-10;New York City
HYC6103;20;60.0;TRAFFIC;2018-09-09;New York City
HGJ8014;24;60.0;TRAFFIC;2017-01-19;Kings
ELP2828;38;35.0;TRAFFIC;2018-04-17;Queens
GEG1513;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-12-06;Queens
GUV8352;71;65.0;TRAFFIC;2017-07-06;New York City
GDK6187;20;65.0;TRAFFIC;2019-10-26;New York City
KHY2544;38;65.0;TRAFFIC;2022-08-12;New York City
HZS6821;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-01-29;Queens
77625MH;14;115.0;TRAFFIC;2022-03-08;New York City
85143MB;16;95.0;TRAFFIC;2018-04-23;New York City
