issue_date;community_area_name;unit_description;license_plate_number;violation_code;fine_amount
2002-08-27 13:26:00;BRIGHTON PARK;DOF;bd0e40009f58b526e6db1c896330b87406a499add75511f5ba9d526d084a2338;0964190A;30
2001-12-03 08:23:00;WEST TOWN;CPD;7e68e6395e87302a5f8560b204e9216366daec840b5f9f23c5a44a87aaa64c16;0976160A;25
2006-02-06 14:00:00;LINCOLN PARK;DOF;43fa61b5c32e3eba10f896a7050e74e9e33c47ab255d3d665848f7ea2ead2fa6;0964150B;50
2005-11-06 00:30:00;LOGAN SQUARE;CPD;9feecff3ef34f6c20a04aae17a579be37a6e3837bff698966e10bdaafaac3dfd;0964100A;100
2004-05-17 07:25:00;ROGERS PARK;CPD;1cbb0db116e11e2882a07246e25779a4c95ebbb95bca6639b4ca49abd59ed1ab;0964040B;50
2000-07-28 11:00:00;NORWOOD PARK;CPD;4c5ef9781b8bb2216b86994eb286468968c399e94210ca294a079ea9ba5cf00f;0976160F;25
2017-10-01 19:05:00;WEST PULLMAN;CPD;7612a0bb7f00ba6c9ffe9c9c34c4bda804303ab8533cb9433abef05dc3479a26;0976160B;60
2003-10-30 10:26:00;AVALON PARK;DOF;6a38ad9649f6da279ad48e13de68fafae870aa6ca94f8b06eed12b379212bc44;0964040B;50
2018-04-19 11:02:00;HYDE PARK;DOF;ec082df247c28e8d4abe77872326275c7fb6f942e46bebf4877deee21258ec3b;0964125B;200
2001-04-09 09:21:00;BRIGHTON PARK;Miscellaneous;e9619eacd754ae2c0f78ce5145245cb8403838fe1d631ebad7eb7f32b7d54e58;0964040B;50
1999-06-04 02:15:00;LOGAN SQUARE;CPD;90f9d60e4fcad90052fc7073438dd2fce5b9e9301e3a8726c7c5b979868d89fb;0964100A;60
2006-03-11 15:20:00;LINCOLN PARK;DOF;e3082419abfc8ac40d28ae88fcff7468cfe59347797ef729ffa4e4e955ddc413;0964190A;30
2005-09-01 19:32:00;NEAR SOUTH SIDE;CPD;f28a8338f3c8b0315db4bfa5d51ea8b2c5794eee4755b33355121ac6a846ae62;0964090E;50
2002-03-01 21:00:00;WEST TOWN;CPD;54b664cc178a270feaebb2a9d8b0ec2abb762db075aa6865f2534f500d7b28f3;0976160A;25
2005-02-15 12:19:00;NORTH CENTER;DOF;d1a78b0ba4e1e3afaf66bb12d7154526ff3f5b66222b3e628c56efa94e0a0caa;0976160F;50
2012-10-01 14:11:00;WEST TOWN;DOF;7f4aaa75829668066a9fb4367149c9a03e5d3885f43c2213b62c9598f6dd4de2;0964110C;60
2004-03-12 11:59:00;LOOP;CPD;a6c7e452f3d06ae94c904f70f43792f89f237534a6ef12cfe80dc70a6afe9456;0964190B;50
2001-10-16 17:05:00;LINCOLN SQUARE;CPD;ef0ecc0cbecd288e7327abcc94c7b206b2c7ab8365858f4e2251cf50788bb70c;0964080A;50
2004-03-08 14:08:00;SOUTH LAWNDALE;DOF;f6737cf352801fed43aa24c2b99a6d07c312ac59de34d37083c18813d20600b6;0964150B;50
1998-11-30 07:20:00;BELMONT CRAGIN;CPD;ea7a540556dc4f4ea7bd869621331aef1f2c1bbfbe0079f292e02c7b0caafdb1;0964080A;30
1998-04-18 16:15:00;HUMBOLDT PARK;Unidentified;cae3874abad4651aaa6f88c7edd9a1491da9ac0b3baf029a2bdbd5b7538f8126;0964125;60
2017-09-26 09:34:00;IRVING PARK;DOF;3f1e7dcced140beaabb8bd6ff393aee1ef19baa63181ae8c143c356bc0d97320;0964125B;200
1999-02-20 21:35:00;NEAR WEST SIDE;CPD;dab573278390b27cdb1e5200dbf1b3cff6c8ae42d315005c968c9aba35437747;0964125;60
2012-11-11 16:27:00;NEAR WEST SIDE;DOF;daa2ea6feee289a20cb4dfeeaa67adc7bb8c6b494687b4ea3f37e71f244d7baa;0964190A;50
2018-04-05 18:32:00;LINCOLN SQUARE;Miscellaneous;eaea50698f99c1062983ad8c4e580d78a15145d57dbe7d506a9ff32a2b0c8872;0964190A;50
2006-04-25 02:45:00;WASHINGTON PARK;CPD;89edffaaf4de1b365ac1857f2f93453ffe4b052d9e60e93c627c400f21f2f806;0964125;120
2013-07-30 20:34:00;LOOP;DOF;549bd3fb484a8c492ccda4e52a408611a94d2d988a81f0cd3e36021d3bd92cfd;0964190B;65
2015-02-03 14:35:00;NEAR NORTH SIDE;CPD-Other;707f0834d54576c4f8d4a2bca045dc2b32c8e2fc52d4e23abbf550f5b869f674;0976160F;60
1996-06-27 10:45:00;LINCOLN PARK;Unidentified;fe26c376803d71f8400ef8de46eb4e5d10b26da2defb32880687320bf49907cc;0964040B;50
2008-04-29 22:46:00;LAKE VIEW;DOF;378b0d8a5900fb17cc16b7bd1335a95b97a68bc1e8e5618034c7121a88489084;0964090E;60
2013-01-22 16:49:00;ENGLEWOOD;CPD;937c26c4561147c9f03e7956d18b4be5f8abe04d2fbf550c62f91c0b02dfff67;0964125B;200
2008-06-30 00:30:00;ROGERS PARK;CPD;75f695b97bae2ae412bed5ac277add99968e8d619867124d543c8448384b5814;0964150B;60
2012-10-20 17:40:00;NEAR NORTH SIDE;CPD;c1f45329a19e0d09bc2cf23aa9361dc8427be0e5d79df54acac6bfca279ce3fd;0964150B;75
2018-03-07 09:50:00;LOGAN SQUARE;DOF;552ec65378dde5c171d86fc0c3d350f72455acca99f75d60cc154dc86d349eaa;0964090E;75
2003-01-10 01:45:00;ROGERS PARK;CPD;fdbc2a18083a2cec8a5524cec5adef7a2eb2cd7e0e08c6a81ddbf578e354efa0;0964100C;50
2008-12-20 13:56:00;HYDE PARK;DOF;0c9397cc897f406d21e2a9115a4e1b9dedd4c5270313c50c4fa602083ae58566;0964150B;60
2017-06-24 10:13:00;SOUTH LAWNDALE;DOF;902b6efe72a16bb33bb0708cdce1dca933e8b186a800952814d5d766aa52ba03;0964150B;75
2012-08-31 21:15:00;GAGE PARK;CPD;c94d83c96b6835504fd7f59088b12a1953730dd882eac0dc089b1d1d250abf1b;0976160A;60
2002-07-31 13:40:00;AVONDALE;DOF;5530c733c874858c2910200a1b7fc56005e19f14cb56497e0fbf918060838364;0964190A;30
1997-06-12 07:12:00;ARCHER HEIGHTS;Unidentified;791c36e41b00d2780974a1e9fdc29e7812b902aa4841e6bc7bce1a37f8874b24;0964080A;30
2000-09-07 09:19:00;SOUTH SHORE;DOF;7bd3efad614f79d019ea3fe36eb84e3b2c22eeddf257046730a2472a0becae73;0964125;60
2007-04-23 18:00:00;NEAR NORTH SIDE;CPD;33c5f0b1e3c73beb0e4eb84d178e650a5de1f3e30af54898f266155e9896764f;0964150B;50
2005-03-07 07:40:00;HUMBOLDT PARK;CPD;3ee2e23a662057d36743e67816a574dccf9b0da6ed8497e9c0acebacc3a008e6;0964080A;50
2015-05-11 10:32:00;IRVING PARK;DOF;6af7f28b0e864d50e118c2f1c715e11abe722c73d608c4026585c2e49b2e07cd;0964090E;75
2017-12-18 14:13:00;CHICAGO LAWN;DOF;9bbb1b51fe7e7b1c12223386ae6bc2eb056f5b72db09da69895108fac04c19fb;0964090E;75
1998-03-12 11:47:00;CHICAGO LAWN;Unidentified;e5b14a5154656b915ee619d384ea2f8e7c78e85c1efc2f63915763ad8fd3bac1;0964190A;20
2001-03-31 13:46:00;NEAR WEST SIDE;DOF;41f209b246fe9beab9e2b9d2027eb118e37be94e69d311f17e8e7e53dbe8f4b1;0964190B;50
2004-09-11 09:18:00;CLEARING;CPD;ec8d6dc6cb42091aa6c502306723b502b6306fcb1daf366f31c08da6751c144c;0964090E;50
2003-11-29 14:15:00;SOUTH LAWNDALE;CPD;0cbb7011ffec497747af4331dc9ef5c8371d24cae3e8f4f7e99ed52338aa290f;0976160F;25
2004-09-18 18:46:00;LINCOLN PARK;CPD;fb666d16cff1462cdc049924d92ceeeafc830f00f88f1d3904ff95b25b697e3b;0964125;120
2004-04-02 08:32:00;NORTH CENTER;DOF;42c65be8715e024cc05b8126e9feb6f0bfbd8b60b4d681e3189211cff64001b6;0964150B;50
2003-07-02 01:45:00;NEAR NORTH SIDE;CPD;80728e6d42002491c217141cb8bafa48ed4169fc6a5a68677b0b85ac3f377cfa;0964080B;50
2001-08-25 15:39:00;LOOP;CPD;1b31315eb4f49f80db7da744ace2372d71e2c00fb21d63c92b379e9f6628df20;0964190B;50
2014-09-29 20:58:00;ENGLEWOOD;CPD;d70558c1decec135dc49a7d5b093e1fe6c194413d9cd6256625f79ad6ba3d486;0976160F;60
2005-03-24 18:00:00;AVONDALE;CPD;2573b090966d7ec26bcc316707a305a04b6dedcba0aed1bb299862c79758609f;0976160A;50
2006-01-02 08:50:00;LAKE VIEW;CPD;7d1b136036645fdf7f94fbf69762f46ea31aaec269b0ba1ba226495cb9d238c1;0964080A;50
2011-06-07 08:46:00;SOUTH CHICAGO;DOF;bfb80c4f5533be7688e05502e9becb30b96e66ed05ec3892f4f9234b0533da10;0976160A;50
2009-06-10 08:27:00;AUBURN GRESHAM;DOF;9f897624030850260b8c0fd229f21cedf3fa107e40f242e225a2c17fa1ca1f62;0964150B;60
2005-10-14 19:32:00;PULLMAN;CPD;e9949f7e9a0ce877a7ac86d4fff45946476adcdef49b73eb8ae734d664e5bab2;0964150B;50
2015-02-16 16:26:00;NEAR NORTH SIDE;CPD;52da72e74a9f539a90a7afd5c68939d0fef3c6c7399101feb477ed83db184b50;0964080A;100
2014-07-29 07:01:00;AVONDALE;DOF;31e2d001fa8142923492d4ca8acb917b1cfb3a8ac3941c18adcafb4e97f3207f;0964040B;60
2009-08-30 10:55:00;LOWER WEST SIDE;CPD;70eab34b94b7da665a3af43523293ca7914d14207c4f17a424f9df647045c258;0976180A;25
2011-10-18 10:06:00;LOOP;DOF;090cd3e1afd8ddee8b6e9ad8912aaeb0106d959bbb8756e359c3b6e7e655a6b4;0964150B;60
2007-09-01 18:10:00;NEAR NORTH SIDE;CPD;fb56f47287184cd8f14d546ea628fd936ec85924c9d37b68c3f5070ab10442e1;0964090E;50
2007-10-06 17:16:00;LAKE VIEW;CPD;5f394c3f705c7aa655d00bc98f5a3678bd3b70a2ebe82487e33cfa5750f76854;0964090E;50
2000-10-18 09:15:00;LINCOLN PARK;CPD;3fb08fa66a3a9b7b2ade0f1b87a97b494484563099b5a319da7bea5813a1ccbe;0964040B;50
2008-08-10 17:05:00;LAKE VIEW;CPD;56a60f22f440d92ee85c984daed3d58b613efdca91c0050e553c815193c8dc6d;0964150B;60
2001-12-13 11:14:00;ALBANY PARK;CPD;734186e5c18b005d8ceda4fb030a4cc1ca0d9eff844efc44f746ccfbd3540144;0976160F;25
2006-07-25 01:35:00;DOUGLAS;CPD;309b72d4970f4b90535519719ba85d5085276d23a10bc3dbb1df96902270b176;0964125;120
1997-06-23 11:22:00;CHATHAM;Unidentified;3a6aa1fa672d2f4544b63bd3342bb5028edfd56495e6f4d2c93f4a45ab56d4d6;0964040B;50
2001-08-02 18:57:00;NEAR NORTH SIDE;CPD;dd668633922354dd73efb0df42324ca935028ba567eb6dcbb53d0918103ee035;0976160A;25
2009-04-28 09:18:00;ROGERS PARK;CPD;a3a6df7ba4ca74b0a4edc27b289afafa861ae279df2eb87ec08f51787a66893a;0964040B;50
2011-12-18 20:24:00;NEAR NORTH SIDE;Miscellaneous;fefaaffe22065f6224e703fb49ea747fc57fb1b5959c11580687666735982949;0964190;50
2012-11-28 09:12:00;WEST LAWN;DOF;ed63702fc823f90eb2efbc0a155cd5a3a4628a526436e991f285ae93dd7128f8;0964170A;25
2013-09-18 07:26:00;LAKE VIEW;DOF;6861f19cb410c95d35ed3d024753c106c71a2fed1b39b8fab8aec7f6ba374b1f;0964080A;60
2017-03-11 03:45:00;NORTH LAWNDALE;CPD;c6d98d32a5fa208d1669d04c150e46428915b0fbdd6dfabe0ddd2a888b1ab569;0964125B;200
2007-10-07 17:01:00;LOWER WEST SIDE;CPD;5f8fb56c25b0544f2fd8467e49108bc4c7a8fe78bd75048667cbda52dc57938a;0964125;120
2004-06-15 01:44:00;WEST LAWN;CPD;8cd8129decb762dbaf2a3fc73ffb5f578077839aa659bc74113e4683f3444455;0964125;120
2016-04-23 00:02:00;WEST TOWN;DOF;ce852ed7713904803d682e2755995d802a8554d149ef2d790e17b49e6f947ee0;0976160F;60
1999-06-14 11:26:00;CHATHAM;Unidentified;3a3d8fdb82ae6fe2b5f1b41d0ee22c8e77b3747e8ff8e6ab6fbbd8ce4e2c6323;0964040B;50
1998-11-17 09:30:00;LAKE VIEW;Unidentified;d851a27de2f982beebbbb166b3dc9e2f913a7600042375b293e7fd899e29d490;0964150B;30
2001-02-21 12:58:00;NEAR WEST SIDE;CPD;93be140e2238df02b7d086e3e088bf58ed0e179d8776935e2484424465f0e864;0964190A;30
2011-08-29 07:55:00;LOGAN SQUARE;DOF;07dfae4ecd70a94225a3d24f7a24b0dc0372e5ff2696b96a5b51ff240801f06a;0964170A;25
2006-12-12 12:39:00;NORTH CENTER;DOF;8c6d66fd4f9a9e849da33bcc12777a25b29a2588649ca05fb35ebd203c382077;0964125;120
2017-09-01 09:52:00;PORTAGE PARK;DOF;dc673c4da5d19676d94cdf5534462d9088968e90d7266af94303c3889b0c4c3b;0964125D;30
2016-10-01 00:54:00;NORWOOD PARK;CPD;997c76c90fa30c7280a576f49e41d95d6f501ac3a199066c66dbe1e49f8355de;0964170A;75
2001-12-04 09:31:00;LAKE VIEW;CPD;cba05accac2a110003ef72680b5d67c5bdaa094a5f93a27362bbd767f3ab4580;0964040B;50
2003-03-11 07:50:00;BRIDGEPORT;CPD;8a9f2019841e2c67d94fd6aab2c7df27e4168f3fef2bac0f6e9f84e0d1767b60;0964125;60
2005-07-11 12:10:00;ENGLEWOOD;CPD;969b3a494c9807bfa12d1cadb24c16c5e85ac85dee8fe92ae2ccffbee9e6741c;0964125;120
2001-08-13 08:00:00;SOUTH DEERING;CPD;c94d83c96b6835504fd7f59088b12a1953730dd882eac0dc089b1d1d250abf1b;0976160F;25
2012-09-29 13:35:00;ALBANY PARK;CPD;b260bcf6957ffb7b49d12232ce071ad77581ddc96cd0729bbe891b119f3cddd6;0964090E;75
2000-12-08 22:06:00;HUMBOLDT PARK;CPD;4bd878b056e4b3c38b99ce78189dda4f5e8692438c33b3549c8ea5b9ed0f75b2;0964125;60
2001-04-19 12:41:00;ROSELAND;DOF;887d35bd641d6de92ff448e54cbc3c153e0e137065f96a445f16a228230235f5;0964190A;30
2017-02-16 09:01:00;LINCOLN SQUARE;DOF;2988102acbb0b9bea5baf7ef6f1d427260b8b6f68c1727065c34411d1c3ecdaa;0964190A;50
2014-11-08 12:43:00;CALUMET HEIGHTS;CPD;e77c9590a187721c3e6c43ecc7f6ffae33f37f004b218f41566e18a8de062d1f;0976160F;60
2006-05-04 19:21:00;LAKE VIEW;CPD;000dbacfbd089985653ab90504d2aaf3a2bebdd15ed297839142053c8475bda2;0964090E;50
2001-03-08 23:30:00;CHICAGO LAWN;CPD;8b66e423e2f46050eafc8da7a5d47ec1412f24b6e4b78f5c27b68f356029db3f;0964150B;50
2013-06-27 07:33:00;HUMBOLDT PARK;DOF;0297d19e73f48415bb15d26f8b42d0410bac90ce288e80a21f501c71178ee752;0980110A;75
2010-04-12 13:40:00;NEAR NORTH SIDE;Miscellaneous;059a3adfe01b971a42d7011243bf2ca3e312942f97d0e971d294b2cd98089028;0964150B;60
2012-10-23 09:17:00;IRVING PARK;DOF;ab56a6e270a8add9c5f0434e94d8c79bc012501f50a1b451c0a34e1a5bda9b4f;0964040B;50
2008-04-09 12:15:00;NEAR NORTH SIDE;CPD;454738333b8cc8f13abdde350e1a0df10f798f3eb753c59d24afb8946787b8b1;0976160A;50
2015-01-11 10:22:00;ROGERS PARK;CPD;0c2cb26ee4dc39f110eb5f9b808253ee31d6de1409a2afa04d44d44fbea03dde;0976160F;60
2015-04-02 15:55:00;LOOP;Miscellaneous;5c9a417e493180310ce7bedd3c9d088ae27df4b71d29003dfeefede1b4e2cbd9;0964190B;65
2011-01-13 12:45:00;NEAR WEST SIDE;CPD;fa17417adf5f8129b6f5d0a8a99186551874201b01a98e7c409717f45db4c896;0964190;50
2010-04-09 09:30:00;LOGAN SQUARE;CPD;89254df887eaebbe1a8aa52d1645a8b0153b168ee6ddf8730d0a03f033ba770b;0976150B;50
2006-09-24 10:05:00;PORTAGE PARK;CPD;00336096678ca301b83541b1064b1954a36e610b98ce817d3ae1ce816ed0920b;0964050J;200
2013-04-05 19:20:00;CHATHAM;CPD-Other;c4d54cc20507d7e5ee67f07d78438f53c3696d32bdb05be74739ef55cb779591;0964090E;75
2009-06-24 13:20:00;GRAND BOULEVARD;DOF;092f655e34012c5a0c3f3d9a59ee02d52e6dcc7ca29633e86d25685090731ee1;0976160F;50
2015-08-21 09:10:00;LOOP;DOF;a9ada2e0971e04d14bb191a0edb5eefe4364217f38c29e922e9a27c1d7297a86;0964190B;65
2004-06-13 14:36:00;LINCOLN PARK;CPD;a827840372b1586a6764cf9514b8c44271b5f8cd89967331cc375858acc7fd7e;0964100A;100
2001-11-20 14:40:00;NEAR WEST SIDE;DOF;9d7fdc424b159889e47d166171e1d4f97e5c8fbfcea314a2f53416805d0a6bc6;0964190A;30
2018-04-03 10:13:00;NEW CITY;DOF;c86311dfcdb7eabe0a569409ad7ec48a42d40c17b52e21f8b66740656b350402;0964040B;60
2010-05-06 16:15:00;NEAR NORTH SIDE;CPD;61ee4c6f41152ae14c63ed2f0c69e7205d86815ee0b49502c63bb94231c9845b;0964080A;60
1996-03-01 21:30:00;IRVING PARK;Unidentified;0a5cd8dadf14e97a17187c05a34e7bf7b1f783c63550e0aad7644d2d50c7a302;0964100A;60
2016-05-12 09:46:00;NEAR NORTH SIDE;DOF;05b9733fd6e0179f79d364ff3344551c272e677d5091d44e2da63cec9776cbcb;0964190A;50
2010-03-24 00:22:00;LOWER WEST SIDE;CPD;3ee8b2bf96846e7ca6dab9b5b663c4f169db3a6bd5730b65c921a528d81da769;0976160D;50
2004-08-26 09:30:00;WEST TOWN;DOF;200c38e87eaabfb83f021aa58165c22d3916d1901c6a3805fa9ad1faac9a63ac;0964125;120
2002-04-16 12:35:00;WASHINGTON PARK;CPD;c94d83c96b6835504fd7f59088b12a1953730dd882eac0dc089b1d1d250abf1b;0976160F;25
2012-08-26 03:40:00;ALBANY PARK;CPD;c4425423e9abb297cbe1e69d6c99881cb11eb25a83a1f62e23ab4adacef7ca8d;0976220B;250
2014-08-29 12:26:00;LOWER WEST SIDE;DOF;834e10e033c028ccce8a72c73813fb94fca3241217438130091d841b39d450c1;0964090E;75
2017-09-06 12:49:00;LINCOLN PARK;DOF;e8f704e73b486d98c72937bf8ad21aece0f24ce22afb9101fb0238ee9e9a0d13;0964190A;50
2007-07-13 10:53:00;LINCOLN SQUARE;DOF;5e931bf1526fe9ca725a41bba150dda0bc0faf61252e41d8ea8d77407044e0a3;0964090E;50
2008-08-02 17:13:00;LINCOLN PARK;DOF;447c545bad4e9f643959f41f0917115a652c0ebc942270256ec89a93fbbd53d3;0976160F;50
2003-11-19 05:18:00;AUSTIN;CPD;5f0c2b8645f130ab2dd5789f57891cf57073a47f86d273ded55bd42d3e6bb01c;0964125;60
2015-11-12 19:34:00;LOWER WEST SIDE;CPD;0ac2c6e764497438798bc11791fec9f9143d4b7d0c2e9cb2f102bde04a7566f2;0964125B;200
2011-11-30 07:59:00;ROGERS PARK;DOF;0e2e9a5fb1b0656b79a5e1709deb78730e1a86801facecf26d9db56e2c0e6e04;0964170A;25
2010-10-26 10:04:00;UPTOWN;DOF;e557d13346ad8a6a234cf777d9125e7b17a8337bba8dd2a96cef5dc08734f842;0964040B;50
2000-03-13 16:53:00;KENWOOD;CPD;df2b8087603401c6232834a5b1ace247e88727e802a2f2af918cf784579ae1d7;0964150B;50
2011-01-10 16:36:00;NEAR SOUTH SIDE;CPD;011b6415b5de6f996f7e187f0d0c903a685539618315830466649b6ed6ce2967;0976160A;50
2010-07-18 10:43:00;NORTH LAWNDALE;CPD;c94d83c96b6835504fd7f59088b12a1953730dd882eac0dc089b1d1d250abf1b;0976160F;50
2014-05-23 19:07:00;WEST RIDGE;DOF;733ddfd466a6310a7b34afab89b1df325e389d3526e7d7930a5b22823d13e783;0976160F;60
1999-06-12 17:02:00;ROSELAND;CPD;4e5b8eb740c7474aec60ba8932e59f631ef939ff33a1f44cee85146558d906e2;0964150B;30
2008-04-03 08:06:00;AUSTIN;Miscellaneous;a4124447deeb253724558c6562e38c5fc6d37156e7393a8765ea8624e15c1d88;0964125;120
2009-10-16 09:04:00;NEAR NORTH SIDE;CPD;e0587e0a196884e9a8d3e007858d1708685fd05e709566e7a427ab4e279fa386;0964040B;50
2010-04-09 13:27:00;LAKE VIEW;DOF;66feb9b962e79fbcbc40e2df108860ef45123babd2d66fbd70350b1cdf5d86fe;0964190;50
2016-09-19 10:02:00;LINCOLN PARK;DOF;6f952cbdb69b7b0765816fd8a9cb739e0f3148b24afeacc937beb25abf0270f2;0964020A;25
2008-06-25 21:20:00;SOUTH LAWNDALE;CPD;ac9cfd5f10445ea15cab83f228c089b97a31e4abf6950c7aea8ad90ab4773764;0964110A;100
2007-07-14 23:51:00;WEST GARFIELD PARK;CPD;493625ceb6d0411f8c8f353d352764da971ce2d177ebfe54fe36ab63e8284f8c;0976160F;50
2012-09-21 06:16:00;SOUTH SHORE;Miscellaneous;79f5643fa0308db95bdf0f303140fb2362f7b25aa9eec56a11edab70ef5c9726;0964125B;200
2006-06-12 09:39:00;NORTH CENTER;DOF;8af5d154b20ab23f9b5e0a6dea886787ddce8437967122d05ed7db22bbd37bd3;0964040B;50
2011-03-03 23:10:00;LINCOLN PARK;CPD;35468276001b10fe2f28b40166db52513885b0221e1c17a30d076bd72b5c0943;0964100A;100
2016-11-26 23:35:00;SOUTH CHICAGO;CPD-Other;973983af5420c237f6095b3e2738f22ce15f6d8d914d435449db50f9c7d0440f;0976160F;60
2012-09-27 23:20:00;NEAR WEST SIDE;CPD;74ab54d45b72efd5a94e27574043b7d58afb2b6468cdca1b358fd9c7303e800c;0964150B;75
2013-05-07 07:58:00;WEST RIDGE;DOF;3994eb02581ec618f56d0dff211009552ec0eb81aeeeb3bcfbff32dde6efd2d2;0976160F;60
2017-06-15 10:56:00;BRIGHTON PARK;CPD;d42234910a300b862361b0727d492a02d936a176f28e733838af6a4739b53561;0976160F;60
2001-05-02 10:55:00;LINCOLN SQUARE;CPD;a208d96c50faaf28e16b9977d99d47a4f971a8dc815c0697e31c6ff04991a057;0964040B;50
2008-08-30 04:36:00;AUSTIN;CPD;08e9a4fd1add2c610618421343c6e45e9b27c536088c9128d9d7200fdef4f0e8;0976160F;50
2012-09-29 19:05:00;KENWOOD;DOF;7aa38f9c4a92da355a7e335ebd5912ddfac0dfa61c7e9d97c7c07019b9b45594;0976160A;60
2012-08-27 09:53:00;LAKE VIEW;DOF;55ebcb3aeb4b0c9ea005a53f9fe916e29315d849391ed5998d4c7d470a332024;0976160F;60
2013-02-14 19:35:00;LINCOLN PARK;DOF;4d619e85713daed72468f145194b11b588d44bfb19dfe194c648cb7e84fb94ec;0964190A;50
2011-07-14 17:57:00;LOWER WEST SIDE;DOF;6c4e1f29161c9daa35b4df90ccb8f30834d467f2499f92c9c6d4241c798bda7c;0964150B;60
2008-02-16 12:50:00;NEAR NORTH SIDE;CPD;3dc9a728fb5aaf7195575428f0d10e42531b2be8163a52200ac46d27f42c5437;0964150B;50
2011-07-17 12:38:00;LAKE VIEW;DOF;32c2fb35bce86bc0056a695254a9869b4bc3e428de617c52658593eea12086b4;0976160F;50
2006-04-09 16:35:00;LOGAN SQUARE;CPD;898c031c752e101d585a80ef2a158d7d259160c82b3f91a2c7402d2147ec1724;0976160F;50
2013-08-23 21:26:00;LINCOLN SQUARE;CPD;260d2442a8f477ee4121301a30cdfe7d251cc55342a6828cb8f86c3a3cc7afe4;0964100A;100
2010-09-13 08:29:00;ROSELAND;DOF;a54d9d971a0ef71893963cd8f27eba791ec04da543c58588b12c2e6a4165c2cf;0964170A;25
2008-05-04 11:40:00;GARFIELD RIDGE;CPD;ebf033b40f2b6a2436a4250bcd6702938f66c220236526c7807d481eb17f7b19;0964090E;60
2017-01-03 14:31:00;LOOP;DOF;e4124480e5e84e7e91a58bd84b35dd038e0775ebfb8c145fcf0315a8e12b5dd8;0964020B;75
2002-06-19 08:10:00;GRAND BOULEVARD;CPD;576ce851f1ab777ee8cd17bd063981947ed02c8fb850c40dc40002be179ba39c;0964125;60
